anno,popolazione,nascite,t_natalità_pm,t_fecondità,morti,t_mortalità_pm,saldo_naturale,t_fecondità_totale
1946 ,45540000,1036098,23,"3,01",547952,"12,1",488146,"3,01"
1947 ,45910000,1011490,"22,2","2,89",524019,"11,5",487481,"2,89"
1948 ,46210000,1005851,"21,7","2,83",486392,"10,5",515401,"2,83"
1949 ,46552000,937146,"20,1","2,62",485277,"10,4",451869,"2,62"
1950 ,46914000,908622,"19,4","2,5",455619,"9,7",453453,"2,5"
1951 ,47295000,860998,"18,2","2,35",485208,"10,2",375790,"2,35"
1952 ,47540154,844447,"17,8","2,33",477894,10,366553,"2,34"
1953 ,47792434,839478,"17,6","2,31",476015,"9,9",363463,"2,31"
1954 ,48121059,870689,18,"2,35",441897,"9,1",428792,"2,35"
1955 ,48476568,869333,"17,9","2,33",446689,"9,2",422644,"2,33"
1956 ,48788971,873608,"17,9","2,33",497550,"10,2",376058,"2,34"
1957 ,49051924,878906,"17,9","2,33",484190,"9,8",394716,"2,33"
1958 ,49310541,870468,"17,6","2,31",457690,"9,3",412778,"2,31"
1959 ,49639684,901017,"18,1","2,38",454740,"9,1",446277,"2,38"
1960 ,50025501,910192,"18,1","2,41",480932,"9,6",429260,"2,41"
1961 ,50373901,929657,"18,4","2,41",468455,"9,3",461202,"2,41"
1962 ,50698800,937257,"18,4","2,46",509174,10,428083,"2,46"
1963 ,51060100,960336,"18,8","2,55",516377,"10,1",443959,"2,56"
1964 ,51443900,1016120,"19,7","2,7",490050,"9,5",526070,"2,7"
1965 ,51906800,990458,"19,1","2,66",518008,10,472450,"2,66"
1966 ,52317900,979940,"18,7","2,63",496281,"9,5",483659,"2,63"
1967 ,52720100,948772,18,"2,53",510122,"9,7",438650,"2,54"
1968 ,53080900,930172,"17,6","2,49",532571,"10,1",397601,"2,49"
1969 ,53390601,932466,"17,5","2,51",539129,"10,1",393337,"2,51"
1970 ,53685301,901472,"16,8","2,43",521096,"9,7",380376,"2,43"
1971 ,53958400,906182,"16,8","2,41",522654,"9,7",383528,"2,41"
1972 ,54188580,888203,"16,3","2,36",523828,"9,6",364375,"2,36"
1973 ,54574113,874546,16,"2,34",547487,10,327059,"2,34"
1974 ,54928701,868882,"15,8","2,33",532052,"9,7",336830,"2,33"
1975 ,55293037,827852,"14,9","2,21",554346,10,273506,"2,21"
1976 ,55588966,781638,14,"2,11",550565,"9,9",231073,"2,11"
1977 ,55847553,741103,"13,2","1,98",546694,"9,8",194409,"1,97"
1978 ,56063271,709043,"12,6","1,87",540671,"9,6",168372,"1,87"
1979 ,56247019,670221,"11,9","1,76",538352,"9,6",131869,"1,76"
1980 ,56388481,640401,"11,3","1,64",554510,"9,8",85891,"1,68"
1981 ,56479287,623103,11,"1,59",545291,"9,7",77812,"1,6"
1982 ,56524064,619097,"10,9","1,56",522332,"9,2",96765,"1,6"
1983 ,56563031,601928,"10,6","1,51",553568,"9,8",48360,"1,54"
1984 ,56565118,587871,"10,4","1,46",534676,"9,5",53195,"1,48"
1985 ,56588319,577345,"10,2","1,42",547436,"9,7",29909,"1,45"
1986 ,56597823,555445,"9,8","1,35",537453,"9,5",17992,"1,37"
1987 ,56594488,551539,"9,8","1,33",524999,"9,3",26540,"1,35"
1988 ,56609376,569698,"10,1","1,36",539426,"9,5",30272,"1,38"
1989 ,56649201,560688,"9,8","1,33",525960,"9,3",34728,"1,35"
1990 ,56694360,569255,"9,9","1,33",543708,"9,5",25547,"1,36"
1991 ,56744119,562787,"9,9","1,31",553833,"9,8",8954,"1,33"
1992 ,56757236,567841,"10,1","1,31",545038,"9,5",22803,"1,31"
1993 ,56960300,549484,"9,6","1,27",555043,"9,7",-5559,"1,26"
1994 ,57138489,533050,"9,3","1,22",557513,"9,7",-24463,"1,22"
1995 ,57268578,525609,"9,1","1,18",555203,"9,6",-29594,"1,19"
1996 ,57332996,528103,"9,3","1,19",557756,"9,7",-29653,"1,22"
1997 ,57460977,534462,"9,3","1,21",564679,"9,8",-30217,"1,23"
1998 ,57563354,531548,"9,2","1,21",576911,10,-45363,"1,21"
1999 ,57612615,537242,"9,3","1,22",571356,"9,9",-34114,"1,23"
2000 ,57679895,543039,"9,4","1,24",560241,"9,6",-17202,"1,26"
2001 ,56915744,535282,"9,3","1,25",548254,"9,6",-12963,"1,25"
2002 ,56987507,538198,"9,4","1,26",557393,"9,7",-19195,"1,27"
2003 ,57130506,544063,"9,4","1,29",586468,"10,2",-42405,"1,29"
2004 ,57495900,562599,"9,7","1,33",546658,"9,4",15941,"1,31"
2005 ,57874753,554022,"9,5","1,32",567304,"9,7",-13282,"1,33"
2006 ,58064214,560010,"9,5","1,35",557892,"9,4",2118,"1,37"
2007 ,58223744,563933,"9,5","1,36",570801,"9,6",-6868,"1,4"
2008 ,58652875,576659,"9,6","1,42",585126,"9,8",-8467,"1,45"
2009 ,59000586,568857,"9,5","1,41",591663,"9,8",-22806,"1,45"
2010 ,59190143,561944,"9,3","1,41",587488,"9,7",-25544,"1,46"
2011 ,59364690,546585,"9,2","1,44",593402,10,-46817,"1,44"
2012 ,59394207,534186,9,"1,42",612883,"10,3",-78697,"1,42"
2013 ,59685227,514308,"8,6","1,39",600744,"10,1",-86436,"1,39"
2014 ,60782668,502596,"8,3","1,37",598364,"9,8",-95768,"1,37"
2015 ,60795612,485780,8,"1,35",647571,"10,7",-161791,"1,35"
2016 ,60665551,473438,"7,8","1,34",615261,10.00.00,-141823,"1,34"
2017 ,60589445,458151,"7,7","1,34",649061,"10,7",-190910,"1,32"
2018 ,60483973,,- ,- ,,- ,,
